Metric,AAPL,Strategy
Risk-Free Rate,5.07%,5.07%
Time in Market,69.0%,33.0%
,,
Total Return,111%,"30,106%"
CAGR% (Annual Return),20.37%,311.67%
,,
Sharpe,0.62,5.1
RoMaD,0.66,37.0
Corr to Benchmark,1.0,-0.06
Prob. Sharpe Ratio,35.82%,100.0%
Smart Sharpe,0.58,4.8
Sortino,0.9,15.86
Smart Sortino,0.85,14.94
Sortino/√2,0.64,11.21
Smart Sortino/√2,0.6,10.56
Omega,4.88,4.88
,,
Max Drawdown,-30.91%,-8.42%
Longest DD Days,514,30
Volatility (ann.),28.72%,27.53%
R^2,0.0,0.0
Information Ratio,0.16,0.16
Calmar,0.66,37.0
Skew,0.11,3.34
Kurtosis,4.18,20.75
,,
Expected Daily%,0.05%,0.39%
Expected Monthly%,1.54%,12.36%
Expected Yearly%,16.14%,213.34%
Daily Value-at-Risk,-2.41%,-1.97%
Expected Shortfall (cVaR),-2.41%,-1.97%
,,
MTD,1.9%,7.43%
3M,19.21%,44.72%
6M,24.3%,82.94%
YTD,22.23%,99.17%
1Y,28.67%,202.51%
3Y (ann.),16.07%,350.98%
5Y (ann.),20.37%,311.67%
10Y (ann.),20.37%,311.67%
All-time (ann.),20.37%,311.67%
,,
Best Day,8.9%,13.42%
Worst Day,-8.01%,-6.8%
Best Month,18.13%,51.03%
Worst Month,-12.23%,-4.81%
Best Year,43.67%,907.45%
Worst Year,-26.4%,77.99%
,,
Avg. Drawdown,-5.52%,-1.45%
Avg. Drawdown Days,43,6
Recovery Factor,2.96,69.69
Ulcer Index,0.12,0.01
Serenity Index,0.53,205.81
,,
Avg. Up Month,7.48%,9.6%
Avg. Down Month,-,-
Win Days,778.47,1087.23
Loss Days,695.53,386.77
Win Days%,52.81%,73.76%
Win Month%,55.1%,97.96%
Win Quarter%,64.71%,100.0%
Win Year%,80.0%,100.0%
,,
Beta,-,-0.06
Alpha,-,1.47
Correlation,-,-6.2%
Treynor Ratio,-,-506902.84%
