time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-08-04 09:30:00-04:00,MLTrader,e45c5cf5d8be43f09a2faa2b9d0829f1,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-04 09:30:00-04:00,MLTrader,e45c5cf5d8be43f09a2faa2b9d0829f1,AAPL,sell,market,fill,1,gtc,0.0,1,stock,109.13249969482422,733.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,8b54e3adf3f945df9bcafc944a49b0b2,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,015ded1de28e457f824537deb1e83b02,AAPL,buy,market,fill,1,day,0.0,1,stock,109.37750244140625,733.0,0.0
2020-08-06 09:30:00-04:00,MLTrader,3a59554937544aafb270fc89f1f7ebc5,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-06 09:30:00-04:00,MLTrader,3a59554937544aafb270fc89f1f7ebc5,AAPL,sell,market,fill,1,gtc,0.0,1,stock,110.40499877929688,723.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,47bdd9455ce946d084ba42724324a294,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,f4c8a641aaf74bc293b71d008b9b0111,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,1f3884047e00463abd626bacbfa29549,AAPL,buy,market,fill,1,day,0.0,1,stock,113.20500183105469,723.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,47bdd9455ce946d084ba42724324a294,AAPL,sell,market,fill,1,gtc,0.0,1,stock,113.20500183105469,1270.0,0.0
2020-08-08 09:30:00-04:00,MLTrader,26b843752235425d895ff92fe6491569,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-08 09:30:00-04:00,MLTrader,10db0107c0fa46bdb5a9d2f8e7531721,AAPL,buy,market,fill,1,day,0.0,1,stock,113.20500183105469,1270.0,0.0
2020-08-10 09:30:00-04:00,MLTrader,e93d4662a12748c2996cf71374463a2f,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-10 09:30:00-04:00,MLTrader,e93d4662a12748c2996cf71374463a2f,AAPL,sell,market,fill,1,gtc,0.0,1,stock,112.5999984741211,695.0,0.0
2020-08-11 09:30:00-04:00,MLTrader,dee05b672b364915b929c791c495dbeb,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,MLTrader,396c114c65c24641b3b58925b9806699,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,MLTrader,82e103da85d548b29e65fa9d49bd11bd,AAPL,buy,market,fill,1,day,0.0,1,stock,111.97000122070312,695.0,0.0
2020-08-11 09:30:00-04:00,MLTrader,dee05b672b364915b929c791c495dbeb,AAPL,sell,market,fill,1,gtc,0.0,1,stock,111.97000122070312,1258.0,0.0
2020-08-12 09:30:00-04:00,MLTrader,0456c871de6b41919fa28c1a1bbaa62b,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-12 09:30:00-04:00,MLTrader,cbd53374da584ff6bd673c909622010f,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-12 09:30:00-04:00,MLTrader,b37d137666fe4b1eaef88712e59f3df4,AAPL,buy,market,fill,1,day,0.0,1,stock,110.49749755859375,1258.0,0.0
2020-08-12 09:30:00-04:00,MLTrader,0456c871de6b41919fa28c1a1bbaa62b,AAPL,sell,market,fill,1,gtc,0.0,1,stock,110.49749755859375,1731.0,0.0
2020-08-13 09:30:00-04:00,MLTrader,4b9365154e554c2fa966a785c4686f90,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-13 09:30:00-04:00,MLTrader,f67babbca98b4071a2c4a9f1a96f3a29,AAPL,buy,market,canceled,1,day,0.0,1,stock,,,
2020-08-13 09:30:00-04:00,MLTrader,a8e9b1ea31cc4567a61d13d97004129a,AAPL,buy,stop,fill,1,day,0.0,1,stock,114.43000030517578,1731.0,0.0
2020-08-13 09:30:00-04:00,MLTrader,4b9365154e554c2fa966a785c4686f90,AAPL,sell,market,fill,1,gtc,0.0,1,stock,114.43000030517578,2037.0,0.0
2020-08-14 09:30:00-04:00,MLTrader,81552ebdcd1e4fb0b6fa1da79be6ff6d,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-14 09:30:00-04:00,MLTrader,f88147dcce454759b62bec8825f59f58,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-14 09:30:00-04:00,MLTrader,b364baa7e2cc49f1a02c11397938e0ec,AAPL,buy,market,fill,1,day,0.0,1,stock,114.83000183105469,2037.0,0.0
2020-08-14 09:30:00-04:00,MLTrader,81552ebdcd1e4fb0b6fa1da79be6ff6d,AAPL,sell,market,fill,1,gtc,0.0,1,stock,114.83000183105469,2274.0,0.0
2020-08-15 09:30:00-04:00,MLTrader,0fe5d0c351344d2092deff6b8b4322ab,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-15 09:30:00-04:00,MLTrader,61bab6c3ce7a47328f0cb0ac096f5e2c,AAPL,buy,market,fill,1,day,0.0,1,stock,114.83000183105469,2274.0,0.0
2020-08-17 09:30:00-04:00,MLTrader,7a069e87dd5b4526a1d96d92429c2613,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-17 09:30:00-04:00,MLTrader,7a069e87dd5b4526a1d96d92429c2613,AAPL,sell,market,fill,1,gtc,0.0,1,stock,116.0625,637.0,0.0
2020-08-18 09:30:00-04:00,MLTrader,85fbdbf5bfa0423d818862c51750c154,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-18 09:30:00-04:00,MLTrader,6560a08f6f794aeaac04ab4c3b0f81de,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-18 09:30:00-04:00,MLTrader,c5bf8c6eae174d3888d3f655c8e149eb,AAPL,buy,market,fill,1,day,0.0,1,stock,114.35250091552734,637.0,0.0
2020-08-18 09:30:00-04:00,MLTrader,85fbdbf5bfa0423d818862c51750c154,AAPL,sell,market,fill,1,gtc,0.0,1,stock,114.35250091552734,1164.0,0.0
2020-08-19 09:30:00-04:00,MLTrader,402b079d89284bdc9e513fa0648e05ac,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-19 09:30:00-04:00,MLTrader,3a8dff37e5ff4abbaaba25b731092c2a,AAPL,buy,market,fill,1,day,0.0,1,stock,115.98249816894531,1164.0,0.0
2020-08-20 09:30:00-04:00,MLTrader,f7f4b0e3eaa644b58cf01ba9f8de2735,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-20 09:30:00-04:00,MLTrader,f7f4b0e3eaa644b58cf01ba9f8de2735,AAPL,buy,market,fill,1,gtc,0.0,1,stock,115.75,633.0,0.0
2020-08-21 09:30:00-04:00,MLTrader,cd834b3159be4f2196dbaf37c352df50,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-21 09:30:00-04:00,MLTrader,399ec6d989ac42ed96cee04306afb98e,AAPL,sell,market,fill,1,day,0.0,1,stock,119.26249694824219,633.0,0.0
2020-08-24 09:30:00-04:00,MLTrader,c9c1539ddfb34afab38055d3c2ea510a,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-24 09:30:00-04:00,MLTrader,c9c1539ddfb34afab38055d3c2ea510a,AAPL,sell,market,fill,1,gtc,0.0,1,stock,128.69749450683594,584.0,0.0
2020-08-25 09:30:00-04:00,MLTrader,cc4f31d16eca4da1812d57727f121b16,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-25 09:30:00-04:00,MLTrader,bac6d21f8b954e4cbc3ecde441cf3e2d,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-25 09:30:00-04:00,MLTrader,48d410e6ccc843a798d120813a1fc7f0,AAPL,buy,market,fill,1,day,0.0,1,stock,124.69750213623047,584.0,0.0
2020-08-25 09:30:00-04:00,MLTrader,cc4f31d16eca4da1812d57727f121b16,AAPL,sell,market,fill,1,gtc,0.0,1,stock,124.69750213623047,1084.0,0.0
2020-08-26 09:30:00-04:00,MLTrader,8895cbfbcf884aec9e51c4fd434c5622,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-26 09:30:00-04:00,MLTrader,a30199b330034083a179e0cf79d46a06,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-26 09:30:00-04:00,MLTrader,921c6bdf232c4274b1aba299e8d9c138,AAPL,buy,market,fill,1,day,0.0,1,stock,126.18000030517578,1084.0,0.0
2020-08-26 09:30:00-04:00,MLTrader,8895cbfbcf884aec9e51c4fd434c5622,AAPL,sell,market,fill,1,gtc,0.0,1,stock,126.18000030517578,1467.0,0.0
2020-08-27 09:30:00-04:00,MLTrader,04e9f03d613d48bf83453d8f3a5047cb,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-27 09:30:00-04:00,MLTrader,969718ac8f4e4db38a8c0d00a1028769,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-27 09:30:00-04:00,MLTrader,3a6403b9b90e40db823fbb66a13d0ac3,AAPL,buy,market,fill,1,day,0.0,1,stock,127.14250183105469,1467.0,0.0
2020-08-27 09:30:00-04:00,MLTrader,04e9f03d613d48bf83453d8f3a5047cb,AAPL,sell,market,fill,1,gtc,0.0,1,stock,127.14250183105469,1760.0,0.0
2020-08-28 09:30:00-04:00,MLTrader,d11088d520474e0c8e14591461b2daf8,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-28 09:30:00-04:00,MLTrader,3ad129744036452dbd49250fa5d73163,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-28 09:30:00-04:00,MLTrader,4621ba32318a404ebe47d7ebb7b6ecba,AAPL,buy,market,fill,1,day,0.0,1,stock,126.01249694824219,1760.0,0.0
2020-08-28 09:30:00-04:00,MLTrader,d11088d520474e0c8e14591461b2daf8,AAPL,sell,market,fill,1,gtc,0.0,1,stock,126.01249694824219,2012.0,0.0
2020-08-29 09:30:00-04:00,MLTrader,0ce4dfdfcdbf4df1b0e38a62f17ab246,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-29 09:30:00-04:00,MLTrader,92b82581163b4b1e9db174cf2f6b5a2f,AAPL,buy,market,fill,1,day,0.0,1,stock,126.01249694824219,2012.0,0.0
2020-09-01 09:30:00-04:00,MLTrader,c219bd16a0d9454cb4d2945cbeb0f131,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-01 09:30:00-04:00,MLTrader,c219bd16a0d9454cb4d2945cbeb0f131,AAPL,sell,market,fill,1,gtc,0.0,1,stock,132.75999450683594,574.0,0.0
2020-09-02 09:30:00-04:00,MLTrader,b1280ef2df874aceb0a86e367e76960d,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-02 09:30:00-04:00,MLTrader,3304534c77f24184b7560b0d262c2391,AAPL,buy,market,canceled,1,day,0.0,1,stock,,,
2020-09-02 09:30:00-04:00,MLTrader,3c9f0d57c8d142259e5ccd0439c994b2,AAPL,buy,stop,fill,1,day,0.0,1,stock,137.58999633789062,574.0,0.0
2020-09-02 09:30:00-04:00,MLTrader,b1280ef2df874aceb0a86e367e76960d,AAPL,sell,market,fill,1,gtc,0.0,1,stock,137.58999633789062,997.0,0.0
2020-09-03 09:30:00-04:00,MLTrader,1b47fa8466834e75ab80843a95a79f61,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-03 09:30:00-04:00,MLTrader,f90c85f643cd45cdacd9481eab186e48,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-09-03 09:30:00-04:00,MLTrader,c28195bbfbde4cd695ae6fe16c882d30,AAPL,buy,market,fill,1,day,0.0,1,stock,126.91000366210938,997.0,0.0
2020-09-03 09:30:00-04:00,MLTrader,1b47fa8466834e75ab80843a95a79f61,AAPL,sell,market,fill,1,gtc,0.0,1,stock,126.91000366210938,1447.0,0.0
2020-09-04 09:30:00-04:00,MLTrader,9f51fc519c4146a38bc93526a9d3c86c,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-04 09:30:00-04:00,MLTrader,c6c0b8db440349cab4318c33185cb76d,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-09-04 09:30:00-04:00,MLTrader,9c419a7018ca410bbcb4c4ef2bdcfe9d,AAPL,buy,market,fill,1,day,0.0,1,stock,120.06999969482422,1447.0,0.0
2020-09-04 09:30:00-04:00,MLTrader,9f51fc519c4146a38bc93526a9d3c86c,AAPL,sell,market,fill,1,gtc,0.0,1,stock,120.06999969482422,1910.0,0.0
2020-09-05 09:30:00-04:00,MLTrader,710e217f57f24231adc4f32dc5234afd,AAPL,buy,market,canceled,1,day,0.0,1,stock,,,
2020-09-05 09:30:00-04:00,MLTrader,04e3e8ed7c2146f38f3f36ef7e3640a5,AAPL,buy,stop,fill,1,day,0.0,1,stock,123.67209968566895,1910.0,0.0
2020-09-09 09:30:00-04:00,MLTrader,6e5a1470f59e4512a76c23d4178a493d,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-09 09:30:00-04:00,MLTrader,6e5a1470f59e4512a76c23d4178a493d,AAPL,sell,market,fill,1,gtc,0.0,1,stock,117.26000213623047,724.0,0.0
2020-09-10 09:30:00-04:00,MLTrader,191be44600ff40138f7739eb8373d318,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-10 09:30:00-04:00,MLTrader,b699256321364a3081a795650111c38e,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-09-10 09:30:00-04:00,MLTrader,331f8103cf4f4c5c862651652d2b9663,AAPL,buy,market,fill,1,day,0.0,1,stock,120.36000061035156,724.0,0.0
2020-09-10 09:30:00-04:00,MLTrader,191be44600ff40138f7739eb8373d318,AAPL,sell,market,fill,1,gtc,0.0,1,stock,120.36000061035156,1269.0,0.0
2020-09-11 09:30:00-04:00,MLTrader,bb6e98cc0aa34d0f942986951e8afbf0,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-11 09:30:00-04:00,MLTrader,449f4eeba45a4c96881593c95b66bfce,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-09-11 09:30:00-04:00,MLTrader,f00e218a0a0948528950be55694c6fbc,AAPL,buy,market,fill,1,day,0.0,1,stock,114.56999969482422,1269.0,0.0
