time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-08-04 09:30:00-04:00,MLTrader,0823e47565e64e93805815bfa6b2169f,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-04 09:30:00-04:00,MLTrader,0823e47565e64e93805815bfa6b2169f,AAPL,sell,market,fill,1,gtc,0.0,1,stock,109.13249969482422,733.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,099fc4983fcf41b6912724570f885e94,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,f7073d2b95e6459081355946c4a2bea4,AAPL,buy,market,fill,1,day,0.0,1,stock,109.37750244140625,733.0,0.0
2020-08-06 09:30:00-04:00,MLTrader,e03406550ddf4a0281c18948a98ed1f3,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-06 09:30:00-04:00,MLTrader,e03406550ddf4a0281c18948a98ed1f3,AAPL,sell,market,fill,1,gtc,0.0,1,stock,110.40499877929688,723.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,8d93896a7e1e4cd18b1e8c9f902cbf0c,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,c6f421d94faf4b46bfbf9f015b938d30,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,226942415c8d426aa7e753e5dfbead64,AAPL,buy,market,fill,1,day,0.0,1,stock,113.20500183105469,723.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,8d93896a7e1e4cd18b1e8c9f902cbf0c,AAPL,sell,market,fill,1,gtc,0.0,1,stock,113.20500183105469,1270.0,0.0
2020-08-08 09:30:00-04:00,MLTrader,86bb61a245ac4f48a754e856f0937580,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
