time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-06-06 09:30:00-04:00,MLTrader,a095d38787604143ace439bd693a69af,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-06 09:30:00-04:00,MLTrader,a095d38787604143ace439bd693a69af,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,132.17599487304688,605.0,0.0
2022-06-07 09:30:00-04:00,MLTrader,4946181a6675490b8739690483fc9c91,USDJPY=X,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-06-07 09:30:00-04:00,MLTrader,ab09c1637a334b20b16c6d94247e3aaf,USDJPY=X,buy,market,fill,1,day,0.0,1,stock,132.8470001220703,605.0,0.0
2022-06-17 09:30:00-04:00,MLTrader,d05105086a7c40cd99091c1168a1664d,USDJPY=X,buy,market,new,1,gtc,0.0,1,stock,,,
2022-06-17 09:30:00-04:00,MLTrader,d05105086a7c40cd99091c1168a1664d,USDJPY=X,buy,market,fill,1,gtc,0.0,1,stock,132.42100524902344,602.0,0.0
2022-06-18 09:30:00-04:00,MLTrader,8802fa3db4e24269977282825679dfba,USDJPY=X,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-06-18 09:30:00-04:00,MLTrader,fcbe6874cc694b079209406482f7732f,USDJPY=X,sell,market,fill,1,day,0.0,1,stock,132.42100524902344,602.0,0.0
2022-09-09 09:30:00-04:00,MLTrader,8fbfdb07a12241608919c098da11bab1,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-09 09:30:00-04:00,MLTrader,8fbfdb07a12241608919c098da11bab1,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,143.8560028076172,554.0,0.0
2022-09-10 09:30:00-04:00,MLTrader,55a0bbdadcee47938541564300efe850,USDJPY=X,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-09-10 09:30:00-04:00,MLTrader,b12b36793a4f4cd1a81d7bf5b58fa4b5,USDJPY=X,buy,market,fill,1,day,0.0,1,stock,143.8560028076172,554.0,0.0
2022-10-21 09:30:00-04:00,MLTrader,1734d6c886a446c9ad6b49285414c416,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2022-10-21 09:30:00-04:00,MLTrader,1734d6c886a446c9ad6b49285414c416,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,150.17599487304688,531.0,0.0
2022-10-22 09:30:00-04:00,MLTrader,9f501e9fe743418d8dc7c10bf166cef0,USDJPY=X,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-10-22 09:30:00-04:00,MLTrader,12a48de4de3545bb992f34731ae03a70,USDJPY=X,buy,market,fill,1,day,0.0,1,stock,150.17599487304688,531.0,0.0
2022-10-26 09:30:00-04:00,MLTrader,369ceb097f544c53bd002760c8544b71,USDJPY=X,buy,market,new,1,gtc,0.0,1,stock,,,
2022-10-26 09:30:00-04:00,MLTrader,369ceb097f544c53bd002760c8544b71,USDJPY=X,buy,market,fill,1,gtc,0.0,1,stock,146.13400268554688,545.0,0.0
2022-10-27 09:30:00-04:00,MLTrader,c626690013764f53b2541edf337b69a1,USDJPY=X,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-10-27 09:30:00-04:00,MLTrader,fbb5302e98574b4886774f53c96234db,USDJPY=X,sell,market,fill,1,day,0.0,1,stock,146.2740020751953,545.0,0.0
2022-12-15 09:30:00-05:00,MLTrader,27c76e68470e4f92a38ca5b087465932,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2022-12-15 09:30:00-05:00,MLTrader,27c76e68470e4f92a38ca5b087465932,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,137.75100708007812,579.0,0.0
2022-12-16 09:30:00-05:00,MLTrader,4a02172016334e14acbefa55483f93c3,USDJPY=X,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-12-16 09:30:00-05:00,MLTrader,2d73c67e63334d85b08eb132e61648b0,USDJPY=X,buy,market,fill,1,day,0.0,1,stock,137.75100708007812,579.0,0.0
2022-12-30 09:30:00-05:00,MLTrader,54a3ecf2481e414992433b7489e782a2,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2022-12-30 09:30:00-05:00,MLTrader,54a3ecf2481e414992433b7489e782a2,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,132.91600036621094,600.0,0.0
2022-12-31 09:30:00-05:00,MLTrader,55cec5efb88b4919b0377882e315a60c,USDJPY=X,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-12-31 09:30:00-05:00,MLTrader,f80883c669e449a4a9b5dd82557f89ff,USDJPY=X,buy,market,fill,1,day,0.0,1,stock,132.91600036621094,600.0,0.0
