datetime,portfolio_value,cash,positions,return
2020-08-03 15:55:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2020-08-04 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-05 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-06 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-07 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-08 09:30:00-04:00,100000.0,19984.764266967773,"[{'asset': USD, 'quantity': 19984.764266967773}, {'asset': USDJPY=X, 'quantity': 758.0}]",0.0
2020-08-10 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-11 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-12 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-13 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-14 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-15 09:30:00-04:00,100000.0,180009.8172607422,"[{'asset': USD, 'quantity': 180009.8172607422}, {'asset': USDJPY=X, 'quantity': -748.0}]",0.0
2020-08-17 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-18 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-19 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-20 09:30:00-04:00,100317.4322052002,179991.85723876953,"[{'asset': USD, 'quantity': 179991.85723876953}, {'asset': USDJPY=X, 'quantity': -754.0}]",0.0031743220520019655
2020-08-21 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-08-22 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-08-24 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-08-25 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-08-26 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-08-27 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-08-28 09:30:00-04:00,100317.4322052002,180524.9976348877,"[{'asset': USD, 'quantity': 180524.9976348877}, {'asset': USDJPY=X, 'quantity': -752.0}]",0.0
2020-08-29 09:30:00-04:00,100317.4322052002,244733.7135772705,"[{'asset': USD, 'quantity': 244733.7135772705}, {'asset': USDJPY=X, 'quantity': -1354.0}]",0.0
2020-08-31 09:30:00-04:00,100317.4322052002,100317.4322052002,"[{'asset': USD, 'quantity': 100317.4322052002}]",0.0
2020-09-01 09:30:00-04:00,100412.81378936768,180551.86058807373,"[{'asset': USD, 'quantity': 180551.86058807373}, {'asset': USDJPY=X, 'quantity': -757.0}]",0.0009507977035574378
2020-09-02 09:30:00-04:00,100412.81378936768,100412.81378936768,"[{'asset': USD, 'quantity': 100412.81378936768}]",0.0
2020-09-03 09:30:00-04:00,100412.81378936768,100412.81378936768,"[{'asset': USD, 'quantity': 100412.81378936768}]",0.0
2020-09-04 09:30:00-04:00,100412.81378936768,100412.81378936768,"[{'asset': USD, 'quantity': 100412.81378936768}]",0.0
2020-09-05 09:30:00-04:00,100412.81378936768,100412.81378936768,"[{'asset': USD, 'quantity': 100412.81378936768}]",0.0
2020-09-08 09:30:00-04:00,100412.81378936768,100412.81378936768,"[{'asset': USD, 'quantity': 100412.81378936768}]",0.0
