Metric,USDJPY=X,Strategy
Risk-Free Rate,5.07%,5.07%
Time in Market,72.0%,10.0%
,,
Total Return,39%,7%
CAGR% (Annual Return),8.68%,1.81%
,,
Sharpe,0.41,-0.86
RoMaD,0.59,0.53
Corr to Benchmark,1.0,-0.01
Prob. Sharpe Ratio,48.44%,17.82%
Smart Sharpe,0.39,-0.82
Sortino,0.57,-1.35
Smart Sortino,0.54,-1.28
Sortino/√2,0.4,-0.95
Smart Sortino/√2,0.38,-0.91
Omega,0.72,0.72
,,
Max Drawdown,-14.75%,-3.39%
Longest DD Days,368,404
Volatility (ann.),9.21%,3.57%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.59,0.53
Skew,-0.58,2.58
Kurtosis,7.23,73.84
,,
Expected Daily%,0.02%,0.0%
Expected Monthly%,0.68%,0.15%
Expected Yearly%,6.88%,1.45%
Daily Value-at-Risk,-0.77%,-0.3%
Expected Shortfall (cVaR),-0.77%,-0.3%
,,
MTD,-1.19%,1.9%
3M,-4.78%,1.34%
6M,-1.33%,2.68%
YTD,4.97%,2.77%
1Y,1.54%,2.61%
3Y (ann.),10.8%,2.26%
5Y (ann.),8.68%,1.81%
10Y (ann.),8.68%,1.81%
All-time (ann.),8.68%,1.81%
,,
Best Day,2.53%,2.98%
Worst Day,-3.72%,-1.91%
Best Month,7.44%,1.9%
Worst Month,-7.65%,-1.57%
Best Year,15.52%,4.98%
Worst Year,-2.69%,-0.73%
,,
Avg. Drawdown,-1.69%,-1.62%
Avg. Drawdown Days,28,112
Recovery Factor,2.37,2.19
Ulcer Index,0.05,0.01
Serenity Index,0.35,0.15
,,
Avg. Up Month,3.22%,0.8%
Avg. Down Month,-2.99%,-0.73%
Win Days,815.01,751.79
Loss Days,644.99,708.21
Win Days%,55.82%,51.49%
Win Month%,57.14%,56.82%
Win Quarter%,70.59%,70.59%
Win Year%,80.0%,60.0%
,,
Beta,-,-0.0
Alpha,-,0.02
Correlation,-,-0.9%
Treynor Ratio,-,-685.77%
