time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-08-04 09:30:00-04:00,MLTrader,bd846ca34d3d4542bd4cf30ea02e987a,GC=F,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-04 09:30:00-04:00,MLTrader,bd846ca34d3d4542bd4cf30ea02e987a,GC=F,buy,market,fill,1,gtc,0.0,1,stock,1971.0,41.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,b834d42b05c642ea836378ebe3c95dee,GC=F,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,20fc8f3bbd9745658095e21de2340172,GC=F,sell,market,fill,1,day,0.0,1,stock,2024.0,41.0,0.0
2020-08-06 09:30:00-04:00,MLTrader,d706587036f9494f9fb8d508a2a0e6b2,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-06 09:30:00-04:00,MLTrader,d706587036f9494f9fb8d508a2a0e6b2,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2045.5,40.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,e5334c747c2540d188b9ff6bad47133b,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,453f7c1ee39c45ed83f8d36d9af93abf,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,a9cc134dfcf648e8a539a0247a9c112d,GC=F,buy,market,fill,1,day,0.0,1,stock,2040.0999755859375,40.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,e5334c747c2540d188b9ff6bad47133b,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2040.0999755859375,72.0,0.0
2020-08-08 09:30:00-04:00,MLTrader,55a319f8755c49e69337be9972f4bdcf,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-08 09:30:00-04:00,MLTrader,3073b3caf599401c9b3b34befc837a9b,GC=F,buy,market,fill,1,day,0.0,1,stock,2040.0999755859375,72.0,0.0
2020-08-10 09:30:00-04:00,MLTrader,e8306745e58742bb8782491ee171dcc2,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-10 09:30:00-04:00,MLTrader,e8306745e58742bb8782491ee171dcc2,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2026.4000244140625,40.0,0.0
2020-08-11 09:30:00-04:00,MLTrader,e4610d71538b495db5444a938f46f750,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,MLTrader,4249f984872a496eb93bf85bee0b2f12,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,MLTrader,8be5e042888047af80a9edddf3b5906d,GC=F,buy,market,fill,1,day,0.0,1,stock,2012.4000244140625,40.0,0.0
2020-08-11 09:30:00-04:00,MLTrader,e4610d71538b495db5444a938f46f750,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2012.4000244140625,73.0,0.0
2020-08-12 09:30:00-04:00,MLTrader,83d608fcee8e43f09188a39d74f082de,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-12 09:30:00-04:00,MLTrader,e6320efe1b0b463d9740fe4dc841ad7e,GC=F,buy,market,fill,1,day,0.0,1,stock,1923.0,73.0,0.0
2020-08-17 09:30:00-04:00,MLTrader,8833fa8fb0dd4bcea02fd838e6e759bf,GC=F,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-17 09:30:00-04:00,MLTrader,8833fa8fb0dd4bcea02fd838e6e759bf,GC=F,buy,market,fill,1,gtc,0.0,1,stock,1949.5999755859375,45.0,0.0
2020-08-18 09:30:00-04:00,MLTrader,b366c67df6504ba79eda235fb396bcd4,GC=F,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-18 09:30:00-04:00,MLTrader,65b782501b184abca2c236593fc18c71,GC=F,sell,market,fill,1,day,0.0,1,stock,2001.0999755859375,45.0,0.0
2020-08-19 09:30:00-04:00,MLTrader,d87fa1578f2b4c6585c288f8d25dd94d,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-19 09:30:00-04:00,MLTrader,d87fa1578f2b4c6585c288f8d25dd94d,GC=F,sell,market,fill,1,gtc,0.0,1,stock,1980.0,45.0,0.0
2020-08-20 09:30:00-04:00,MLTrader,acbb0f26286c4290bb21fd332e931754,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
