Metric,GC=F,Strategy
Risk-Free Rate,5.07%,5.07%
Time in Market,69.0%,12.0%
,,
Total Return,25%,492%
CAGR% (Annual Return),5.65%,55.39%
,,
Sharpe,0.11,4.65
RoMaD,0.27,95.98
Corr to Benchmark,1.0,0.01
Prob. Sharpe Ratio,14.5%,100.0%
Smart Sharpe,0.11,4.61
Sortino,0.15,95.23
Smart Sortino,0.15,94.33
Sortino/√2,0.11,67.34
Smart Sortino/√2,0.11,66.7
Omega,9.54,9.54
,,
Max Drawdown,-20.87%,-0.58%
Longest DD Days,1211,6
Volatility (ann.),15.14%,8.49%
R^2,0.0,0.0
Information Ratio,0.11,0.11
Calmar,0.27,95.98
Skew,-0.57,5.49
Kurtosis,4.66,44.68
,,
Expected Daily%,0.02%,0.12%
Expected Monthly%,0.45%,3.7%
Expected Yearly%,4.54%,42.72%
Daily Value-at-Risk,-1.29%,-0.61%
Expected Shortfall (cVaR),-1.29%,-0.61%
,,
MTD,2.97%,0.96%
3M,4.98%,11.99%
6M,24.22%,24.35%
YTD,21.03%,28.74%
1Y,31.78%,40.03%
3Y (ann.),12.88%,45.43%
5Y (ann.),5.65%,55.39%
10Y (ann.),5.65%,55.39%
All-time (ann.),5.65%,55.39%
,,
Best Day,3.16%,6.34%
Worst Day,-4.98%,-0.58%
Best Month,9.33%,15.42%
Worst Month,-7.43%,0.0%
Best Year,21.03%,59.74%
Worst Year,-5.4%,28.74%
,,
Avg. Drawdown,-4.38%,-0.32%
Avg. Drawdown Days,130,3
Recovery Factor,1.29,310.88
Ulcer Index,0.1,0.0
Serenity Index,0.1,101513.94
,,
Avg. Up Month,3.9%,3.27%
Avg. Down Month,-,-
Win Days,793.69,1448.14
Loss Days,680.31,25.86
Win Days%,53.85%,98.25%
Win Month%,48.98%,100.0%
Win Quarter%,58.82%,100.0%
Win Year%,40.0%,100.0%
,,
Beta,-,0.0
Alpha,-,0.44
Correlation,-,0.88%
Treynor Ratio,-,98249.32%
