time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-08-04 09:30:00-04:00,MLTrader,8e0b245d900a43d985ba4f02759a9c19,GC=F,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-04 09:30:00-04:00,MLTrader,8e0b245d900a43d985ba4f02759a9c19,GC=F,buy,market,fill,1,gtc,0.0,1,stock,1971.0,41.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,d279c6601a5945b7a5f004b2526a72b4,GC=F,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,561153963d2f416fad20dd60190a011b,GC=F,sell,market,fill,1,day,0.0,1,stock,2024.0,41.0,0.0
2020-08-06 09:30:00-04:00,MLTrader,f6415785f435468fb948373ea7d9aad6,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-06 09:30:00-04:00,MLTrader,f6415785f435468fb948373ea7d9aad6,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2045.5,40.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,ff21e5b1cc3f42c185852f3bbb8f1bb6,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,b4d79ddd407945f58736211603528c10,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-07 09:30:00-04:00,MLTrader,23320dcab37f4fd7bd0274a2a0a19a7e,GC=F,buy,market,fill,1,day,0.0,1,stock,2040.0999755859375,40.0,0.0
2020-08-07 09:30:00-04:00,MLTrader,ff21e5b1cc3f42c185852f3bbb8f1bb6,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2040.0999755859375,72.0,0.0
2020-08-08 09:30:00-04:00,MLTrader,11fe93735eb34e8a913704a6e53af66a,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-08 09:30:00-04:00,MLTrader,c9cbf09f19194601a85e325bc161ae00,GC=F,buy,market,fill,1,day,0.0,1,stock,2040.0999755859375,72.0,0.0
2020-08-10 09:30:00-04:00,MLTrader,f4a36cc7e80b4f328904d8a2ff583a9f,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-10 09:30:00-04:00,MLTrader,f4a36cc7e80b4f328904d8a2ff583a9f,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2026.4000244140625,40.0,0.0
2020-08-11 09:30:00-04:00,MLTrader,0108430efd64442cb755c9bcf4e71dbb,GC=F,sell,market,new,1,gtc,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,MLTrader,fee18742bdbb4dbd87dd6e429d0947e3,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-11 09:30:00-04:00,MLTrader,3302fa7e3f2f42e388837730dcd80b47,GC=F,buy,market,fill,1,day,0.0,1,stock,2012.4000244140625,40.0,0.0
2020-08-11 09:30:00-04:00,MLTrader,0108430efd64442cb755c9bcf4e71dbb,GC=F,sell,market,fill,1,gtc,0.0,1,stock,2012.4000244140625,73.0,0.0
2020-08-12 09:30:00-04:00,MLTrader,1de742a45136496ab0cb5e463a83ba29,GC=F,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-08-12 09:30:00-04:00,MLTrader,e1661e8aa5994253b1caa77387b9cfda,GC=F,buy,market,fill,1,day,0.0,1,stock,1923.0,73.0,0.0
2020-08-17 09:30:00-04:00,MLTrader,74e0c31b0d454cae81d327fc137e9c2f,GC=F,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-17 09:30:00-04:00,MLTrader,74e0c31b0d454cae81d327fc137e9c2f,GC=F,buy,market,fill,1,gtc,0.0,1,stock,1949.5999755859375,45.0,0.0
2020-08-18 09:30:00-04:00,MLTrader,074ed08adace42058d24362f7d1a6919,GC=F,sell,stop,canceled,1,day,0.0,1,stock,,,
